Date,Weekly Henry Hub Natural Gas Spot Price (Dollars per Million Btu),LNG 160K CBM Spot Rate
9-May-14,4.74,"65,500"
16-May-14,4.46,"65,000"
23-May-14,4.52,"70,000"
30-May-14,4.52,"70,500"
6-Jun-14,4.61,"70,000"
13-Jun-14,4.61,"67,000"
20-Jun-14,4.66,"65,000"
27-Jun-14,4.52,"65,500"
4-Jul-14,4.41,"65,000"
11-Jul-14,4.19,"65,500"
18-Jul-14,4.11,"65,000"
25-Jul-14,3.84,"63,000"
1-Aug-14,3.79,"68,000"
8-Aug-14,3.92,"68,500"
15-Aug-14,3.9,"68,000"
22-Aug-14,3.85,"68,500"
29-Aug-14,4.01,"68,000"
5-Sep-14,3.93,"68,500"
12-Sep-14,3.91,"72,000"
19-Sep-14,3.95,"72,500"
26-Sep-14,3.88,"72,000"
3-Oct-14,4.02,"75,000"
10-Oct-14,3.87,"75,500"
17-Oct-14,3.82,"70,000"
24-Oct-14,3.63,"70,500"
31-Oct-14,3.65,"78,000"
7-Nov-14,3.83,"78,500"
14-Nov-14,4.16,"78,000"
21-Nov-14,4.34,"76,000"
28-Nov-14,4.16,"77,000"
5-Dec-14,3.75,"77,500"
12-Dec-14,3.66,"69,000"
19-Dec-14,3.69,"69,500"
26-Dec-14,2.94,"66,000"
2-Jan-15,3.09,"66,500"
9-Jan-15,3.03,"66,000"
16-Jan-15,3.08,"62,000"
23-Jan-15,2.95,"60,000"
30-Jan-15,2.91,"59,000"
6-Feb-15,2.72,"58,000"
13-Feb-15,2.75,"48,000"
20-Feb-15,2.9,"44,000"
27-Feb-15,3.13,"44,500"
6-Mar-15,3.04,"40,000"
13-Mar-15,2.76,"38,000"
20-Mar-15,2.8,"38,500"
27-Mar-15,2.79,"35,000"
3-Apr-15,2.64,"35,500"
10-Apr-15,2.67,"35,000"
17-Apr-15,2.61,"35,000"
24-Apr-15,2.6,"33,000"
1-May-15,2.57,"30,000"
8-May-15,2.75,"28,000"
15-May-15,2.88,"28,500"
22-May-15,2.99,"31,000"
29-May-15,2.8,"33,000"
5-Jun-15,2.65,"33,500"
12-Jun-15,2.78,"33,000"
19-Jun-15,2.9,"33,500"
26-Jun-15,2.8,"31,000"
3-Jul-15,2.79,"29,000"
10-Jul-15,2.75,"27,000"
17-Jul-15,2.89,"26,000"
24-Jul-15,2.88,"26,500"
31-Jul-15,2.87,"30,000"
7-Aug-15,2.8,"30,000"
14-Aug-15,2.88,"30,500"
21-Aug-15,2.75,"30,000"
28-Aug-15,2.69,"32,000"
4-Sep-15,2.69,"32,500"
11-Sep-15,2.7,"32,000"
18-Sep-15,2.7,"30,000"
25-Sep-15,2.61,"30,500"
2-Oct-15,2.49,"30,000"
9-Oct-15,2.38,"30,500"
16-Oct-15,2.48,"30,000"
23-Oct-15,2.38,"32,000"
30-Oct-15,2.12,"32,500"
6-Nov-15,2.02,"34,000"
13-Nov-15,2.11,"34,500"
20-Nov-15,2.09,"32,000"
27-Nov-15,2.15,"32,500"
4-Dec-15,2.13,"32,000"
11-Dec-15,1.96,"32,500"
18-Dec-15,1.72,"32,000"
25-Dec-15,1.68,"32,500"
1-Jan-16,2.27,"32,000"
8-Jan-16,2.38,"32,000"
15-Jan-16,2.32,"32,500"
22-Jan-16,2.2,"31,000"
29-Jan-16,2.22,"30,000"
5-Feb-16,2.11,"28,000"
12-Feb-16,2.16,"28,500"
19-Feb-16,1.94,"28,000"
26-Feb-16,1.82,"27,000"
4-Mar-16,1.57,"27,500"
11-Mar-16,1.64,"27,000"
18-Mar-16,1.79,"29,000"
25-Mar-16,1.79,"30,000"
1-Apr-16,1.86,"30,500"
8-Apr-16,1.96,"30,000"
15-Apr-16,1.9,"30,500"
22-Apr-16,1.91,"30,000"
29-Apr-16,1.92,"30,500"
6-May-16,1.96,"30,000"
13-May-16,2,"28,000"
20-May-16,1.89,"27,000"
27-May-16,1.84,"25,000"
3-Jun-16,2.15,"25,500"
10-Jun-16,2.36,"27,000"
17-Jun-16,2.59,"30,000"
24-Jun-16,2.75,"30,500"
1-Jul-16,2.89,"31,000"
8-Jul-16,2.82,"31,500"
15-Jul-16,2.81,"32,000"
22-Jul-16,2.79,"35,000"
29-Jul-16,2.85,"38,000"
5-Aug-16,2.88,"40,000"
12-Aug-16,2.77,"40,500"
19-Aug-16,2.73,"40,000"
26-Aug-16,2.82,"40,500"
2-Sep-16,2.94,"40,000"
9-Sep-16,2.87,"40,500"
16-Sep-16,3.02,"37,000"
23-Sep-16,3.11,"35,000"
30-Sep-16,3.01,"33,000"
7-Oct-16,2.91,"33,500"
14-Oct-16,3.17,"33,000"
21-Oct-16,3.14,"34,000"
28-Oct-16,2.72,"33,000"
4-Nov-16,2.5,"36,000"
11-Nov-16,2.22,"38,000"
18-Nov-16,2.44,"40,000"
25-Nov-16,2.76,"42,000"
2-Dec-16,3.21,"43,000"
9-Dec-16,3.69,"45,000"
16-Dec-16,3.57,"45,500"
23-Dec-16,3.51,"45,000"
30-Dec-16,3.69,"45,500"
6-Jan-17,3.47,"47,000"
13-Jan-17,3.27,"48,000"
20-Jan-17,3.29,"48,500"
27-Jan-17,3.27,"48,000"
3-Feb-17,3.12,"45,000"
10-Feb-17,3.04,"43,000"
17-Feb-17,2.87,"41,000"
24-Feb-17,2.62,"39,000"
3-Mar-17,2.52,"39,500"
10-Mar-17,2.75,"35,000"
17-Mar-17,2.96,"34,000"
24-Mar-17,2.99,"34,500"
31-Mar-17,3.03,"30,000"
7-Apr-17,3.18,"30,500"
14-Apr-17,3.05,"30,000"
21-Apr-17,3.1,"30,500"
28-Apr-17,3.09,"30,000"
5-May-17,3.14,"30,500"
12-May-17,3.12,"32,000"
19-May-17,3.21,"34,000"
26-May-17,3.18,"35,000"
2-Jun-17,3.03,"37,000"
9-Jun-17,2.98,"40,000"
16-Jun-17,3.03,"40,500"
23-Jun-17,2.89,"40,000"
30-Jun-17,3.01,"40,500"
7-Jul-17,2.95,"40,000"
14-Jul-17,2.96,"40,500"
21-Jul-17,3.09,"40,000"
28-Jul-17,2.96,"42,000"
4-Aug-17,2.8,"44,000"
11-Aug-17,2.85,"44,500"
18-Aug-17,2.95,"43,000"
25-Aug-17,2.97,"43,500"
1-Sep-17,2.93,"43,000"
8-Sep-17,2.91,"43,500"
15-Sep-17,2.96,"43,000"
22-Sep-17,3.09,"43,500"
29-Sep-17,2.96,"45,000"
6-Oct-17,2.84,"45,500"
13-Oct-17,2.92,"47,000"
20-Oct-17,2.84,"51,000"
27-Oct-17,2.91,"58,000"
3-Nov-17,2.78,"63,000"
10-Nov-17,3.12,"68,000"
17-Nov-17,3.1,"68,500"
24-Nov-17,3.05,"70,000"
1-Dec-17,2.94,"74,000"
8-Dec-17,2.84,"75,000"
15-Dec-17,2.77,"80,000"
22-Dec-17,2.69,"82,000"
29-Dec-17,3.03,"82,500"
5-Jan-18,5.71,"78,000"
12-Jan-18,3.24,"78,500"
19-Jan-18,4.12,"78,000"
26-Jan-18,3.43,"78,500"
2-Feb-18,3.3,"75,000"
9-Feb-18,2.75,"73,000"
16-Feb-18,2.54,"71,000"
23-Feb-18,2.62,"65,000"
2-Mar-18,2.64,"58,000"
9-Mar-18,2.74,"56,000"
16-Mar-18,2.71,"49,000"
23-Mar-18,2.66,"47,000"
